protocol/run-0/user_capping/NEWcompute_final_credits/if_current_exceeds_cap_or_else,297,297,0,,protocol/run-0/user_capping/NEWcompute_final_credits/if_current_exceeds_cap_or_else,297
protocol/run-0/user_capping/NEWcompute_final_credits/if_next_event_has_same_match_key_or_else,297,297,0,,protocol/run-0/user_capping/NEWcompute_final_credits/if_next_event_has_same_match_key_or_else,297
protocol/run-0/user_capping/NEWcompute_final_credits/if_next_exceeds_cap_or_else,297,297,0,,protocol/run-0/user_capping/NEWcompute_final_credits/if_next_exceeds_cap_or_else,297
protocol/run-0/user_capping/NEWcredit_prefix_sum/depth0/current_stop_bit_times_successor_credit,297,297,0,,protocol/run-0/user_capping/NEWcredit_prefix_sum,3141
protocol/run-0/user_capping/NEWcredit_prefix_sum/depth0/current_stop_bit_times_successor_stop_bit,294,294,0,,is_credit_larger_than_cap/bit_decompose_current_contribution,29400
protocol/run-0/user_capping/NEWcredit_prefix_sum/depth1/current_stop_bit_times_successor_credit,294,294,0,,protocol/run-0/user_capping/NEWis_credit_larger_than_cap/random_bits_for_bit_decomposition,19200
protocol/run-0/user_capping/NEWcredit_prefix_sum/depth1/current_stop_bit_times_successor_stop_bit,288,288,0,,protocol/run-0/user_capping/NEWmask_source_credits/mask_source_credits,300
protocol/run-0/user_capping/NEWcredit_prefix_sum/depth2/current_stop_bit_times_successor_credit,288,288,0,,is_credit_larger_than_cap/is_cap_less_than_current_contribution,9600
protocol/run-0/user_capping/NEWcredit_prefix_sum/depth2/current_stop_bit_times_successor_stop_bit,276,276,0,,,62532
protocol/run-0/user_capping/NEWcredit_prefix_sum/depth3/current_stop_bit_times_successor_credit,276,276,0,,,
protocol/run-0/user_capping/NEWcredit_prefix_sum/depth3/current_stop_bit_times_successor_stop_bit,252,252,0,,,
protocol/run-0/user_capping/NEWcredit_prefix_sum/depth4/current_stop_bit_times_successor_credit,252,252,0,,,
protocol/run-0/user_capping/NEWcredit_prefix_sum/depth4/current_stop_bit_times_successor_stop_bit,204,204,0,,,
protocol/run-0/user_capping/NEWcredit_prefix_sum/depth5/current_stop_bit_times_successor_credit,204,204,0,,,
protocol/run-0/user_capping/NEWcredit_prefix_sum/depth5/current_stop_bit_times_successor_stop_bit,108,108,0,62532,,
protocol/run-0/user_capping/NEWcredit_prefix_sum/depth6/current_stop_bit_times_successor_credit,108,108,0,,,
protocol/run-0/user_capping/NEWis_credit_larger_than_cap/bit_decompose_current_contribution/add_b_to_c/bit1,300,300,0,,,
protocol/run-0/user_capping/NEWis_credit_larger_than_cap/bit_decompose_current_contribution/add_b_to_c/bit10,300,300,0,,,
protocol/run-0/user_capping/NEWis_credit_larger_than_cap/bit_decompose_current_contribution/add_b_to_c/bit11,300,300,0,,user_capping stage,Cost
protocol/run-0/user_capping/NEWis_credit_larger_than_cap/bit_decompose_current_contribution/add_b_to_c/bit12,300,300,0,,credit_prefix_sum,3141
protocol/run-0/user_capping/NEWis_credit_larger_than_cap/bit_decompose_current_contribution/add_b_to_c/bit13,300,300,0,,compute_final_credits,891
protocol/run-0/user_capping/NEWis_credit_larger_than_cap/bit_decompose_current_contribution/add_b_to_c/bit14,300,300,0,,is_credit_larger_than_cap/bit_decompose_current_contribution,29400
protocol/run-0/user_capping/NEWis_credit_larger_than_cap/bit_decompose_current_contribution/add_b_to_c/bit15,300,300,0,,is_credit_larger_than_cap/random_bits_for_bit_decomposition,19200
protocol/run-0/user_capping/NEWis_credit_larger_than_cap/bit_decompose_current_contribution/add_b_to_c/bit16,300,300,0,,is_credit_larger_than_cap/is_cap_less_than_current_contribution,9600
