rows 100 benchmark complete after 2.503952021s
Step,Records Sent,Indexed PRSS,Sequential PRSS
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle3/breakdown_key/elem3,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle3/breakdown_key/elem4,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle3/breakdown_key/elem5,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle3/breakdown_key/elem6,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle3/breakdown_key/elem7,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle3/helper_bit,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle3/trigger_value,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/generate_permutation_by_attribution_bit/shuffle_reveal_permutation/reveal_permutation,312,0,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/generate_permutation_by_attribution_bit/shuffle_reveal_permutation/shuffle_permutation/shuffle1,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/generate_permutation_by_attribution_bit/shuffle_reveal_permutation/shuffle_permutation/shuffle2,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/generate_permutation_by_attribution_bit/shuffle_reveal_permutation/shuffle_permutation/shuffle3,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/generate_permutation_by_attribution_bit/sort_keys/bit_permute,312,312,0
protocol/run-0/aggregate_credit/sort_by_breakdown_key/apply_permutation_by_breakdown_key/shuffle_inputs/shuffle1/aggregation_bit,208,312,0
protocol/run-0/aggregate_credit/sort_by_breakdown_key/apply_permutation_by_breakdown_key/shuffle_inputs/shuffle1/breakdown_key/elem0,208,312,0
protocol/run-0/aggregate_credit/sort_by_breakdown_key/apply_permutation_by_breakdown_key/shuffle_inputs/shuffle1/breakdown_key/elem1,208,312,0
protocol/run-0/aggregate_credit/sort_by_breakdown_key/apply_permutation_by_breakdown_key/shuffle_inputs/shuffle1/breakdown_key/elem2,208,312,0
protocol/run-0/aggregate_credit/sort_by_breakdown_key/apply_permutation_by_breakdown_key/shuffle_inputs/shuffle1/breakdown_key/elem3,208,312,0
protocol/run-0/aggregate_credit/sort_by_breakdown_key/apply_permutation_by_breakdown_key/shuffle_inputs/shuffle1/breakdown_key/elem4,208,312,0
protocol/run-0/aggregate_credit/sort_by_breakdown_key/apply_permutation_by_breakdown_key/shuffle_inputs/shuffle1/breakdown_key/elem5,208,312,0
protocol/run-0/aggregate_credit/sort_by_breakdown_key/apply_permutation_by_breakdown_key/shuffle_inputs/shuffle1/breakdown_key/elem6,208,312,0
protocol/run-0/aggregate_credit/sort_by_breakdown_key/apply_permutation_by_breakdown_key/shuffle_inputs/shuffle1/breakdown_key/elem7,208,312,0
protocol/run-0/aggregate_credit/sort_by_breakdown_key/apply_permutation_by_breakdown_key/shuffle_inputs/shuffle1/helper_bit,208,312,0
protocol/run-0/aggregate_credit/sort_by_breakdown_key/apply_permutation_by_breakdown_key/shuffle_inputs/shuffle1/trigger_value,208,312,0
protocol/run-0/aggregate_credit/sort_by_breakdown_key/apply_permutation_by_breakdown_key/shuffle_inputs/shuffle2/aggregation_bit,208,312,0
protocol/run-0/aggregate_credit/sort_by_breakdown_key/apply_permutation_by_breakdown_key/shuffle_inputs/shuffle2/breakdown_key/elem0,208,312,0
protocol/run-0/aggregate_credit/sort_by_breakdown_key/apply_permutation_by_breakdown_key/shuffle_inputs/shuffle2/breakdown_key/elem1,208,312,0
protocol/run-0/aggregate_credit/sort_by_breakdown_key/apply_permutation_by_breakdown_key/shuffle_inputs/shuffle2/breakdown_key/elem2,208,312,0
protocol/run-0/aggregate_credit/sort_by_breakdown_key/apply_permutation_by_breakdown_key/shuffle_inputs/shuffle2/breakdown_key/elem3,208,312,0
protocol/run-0/aggregate_credit/sort_by_breakdown_key/apply_permutation_by_breakdown_key/shuffle_inputs/shuffle2/breakdown_key/elem4,208,312,0
protocol/run-0/aggregate_credit/sort_by_breakdown_key/apply_permutation_by_breakdown_key/shuffle_inputs/shuffle2/breakdown_key/elem5,208,312,0
protocol/run-0/aggregate_credit/sort_by_breakdown_key/apply_permutation_by_breakdown_key/shuffle_inputs/shuffle2/breakdown_key/elem6,208,312,0
protocol/run-0/aggregate_credit/sort_by_breakdown_key/apply_permutation_by_breakdown_key/shuffle_inputs/shuffle2/breakdown_key/elem7,208,312,0
